10001,10102,1
10002,10249,1
10003,10004,1
10004,10036,1
10005,10281,1
10006,10131,1
10007,10047,1
10008,10197,1
10009,10272,1
10010,10114,1
10011,10087,1
10012,10082,1
10013,10025,1
10014,10007,1
10015,10019,1
10016,10010,1
10017,10259,1
10018,10271,1
10019,10034,1
10020,10175,1
10021,10120,1
10022,10277,1
10023,10169,1
10024,10046,1
10025,10021,1
10026,10090,1
10027,10040,1
10028,10094,1
10029,10039,1
10030,10279,1
10031,10029,1
10032,10107,1
10033,10096,1
10034,10069,1
10035,10165,1
10036,10167,1
10037,10118,1
10038,10162,1
10039,10184,1
10040,10079,1
10041,10274,1
10043,10026,1
10044,10022,5
10045,10265,1
10046,10203,1
10047,10278,1
10048,10080,1
10055,10112,1
10060,10177,1
10069,10273,1
10072,10151,1
10079,10122,1
10080,10032,1
10081,10171,1
10082,10038,1
10087,10176,1
10090,10002,1
10094,10003,1
10095,10164,1
10096,10154,1
10098,10160,1
10099,10212,1
10101,10168,1
10102,10099,1
10103,10024,1
10104,10270,1
10105,10286,1
10106,10258,1
10107,10174,1
10108,10072,1
10109,10153,1
10110,10041,1
10111,10170,1
10112,10005,1
10113,10108,1
10114,10109,1
10115,10008,1
10116,10155,1
10117,10275,1
10118,10161,1
10119,10159,1
10120,10044,3
10121,10045,1
10122,10117,1
10123,10001,1
10124,10023,1
10125,10095,1
10126,10060,1
10128,10124,1
10129,10292,1
10130,10030,1
10131,10020,1
10132,10166,1
10133,10013,1
10138,10015,1
10149,10242,1
10150,10121,1
10151,10103,1
10152,10111,1
10153,10126,1
10154,10256,1
10155,10081,1
10156,10130,1
10157,10031,1
10158,10110,1
10159,10179,1
10160,10017,1
10161,10158,1
10162,10172,1
10163,10285,1
10164,10157,1
10165,10211,1
10166,10027,1
10167,10125,1
10168,10282,1
10169,10138,1
10170,10106,1
10171,10098,1
10172,10268,1
10173,10105,1
10174,10129,1
10175,10156,1
10176,10014,1
10177,10173,1
10178,10011,1
10179,10213,1
10184,10018,1
10185,10035,1
10197,10113,1
10199,10178,1
10203,10104,1
10211,10261,1
10212,10132,1
10213,10028,1
10242,10185,1
10249,10150,1
10256,10009,1
10257,10055,1
10258,10116,1
10259,10016,1
10260,10006,1
10261,10163,1
10265,10123,1
10268,10276,1
10269,10260,1
10270,10269,1
10271,10280,2
10272,10037,1
10273,10149,1
10274,10033,1
10275,10152,1
10276,10128,1
10277,10119,1
10278,10196,1
10279,10133,1
10280,10012,1
10281,10101,1
10282,10257,1
10285,10115,1
10286,10043,1
10292,10199,1
